inst#,actual,predicted,error,prediction
6493,2:1,1:0,+,0.512
6494,1:0,2:1,+,0.868
6495,1:0,1:0,,0.659
6496,2:1,2:1,,0.723
6497,1:0,2:1,+,0.837
6498,1:0,1:0,,0.507
6499,1:0,2:1,+,0.646
6500,2:1,1:0,+,0.69
6501,1:0,2:1,+,0.555
6502,1:0,2:1,+,0.541
6503,1:0,1:0,,0.734
6504,2:1,2:1,,0.814
6505,2:1,2:1,,0.881
6506,1:0,1:0,,0.696
6507,2:1,2:1,,0.726
6508,1:0,1:0,,0.77
6509,2:1,1:0,+,0.606
6510,2:1,1:0,+,0.822
6511,1:0,2:1,+,0.856
6512,1:0,1:0,,0.594
6513,1:0,1:0,,0.677
6514,1:0,2:1,+,0.892
6515,1:0,1:0,,0.688
6516,2:1,1:0,+,0.652
6517,1:0,2:1,+,0.649
6518,1:0,2:1,+,0.528
6519,2:1,2:1,,0.707
6520,1:0,1:0,,0.602
6521,2:1,2:1,,0.629
6522,1:0,1:0,,0.561
6523,2:1,2:1,,0.596
6524,2:1,2:1,,0.536
6525,1:0,1:0,,0.893
6526,1:0,1:0,,0.56
6527,1:0,2:1,+,0.538
6528,1:0,2:1,+,0.825
6529,2:1,2:1,,0.642
6530,2:1,2:1,,0.842
6531,2:1,2:1,,0.654
6532,1:0,2:1,+,0.729
6533,2:1,2:1,,0.555
6534,2:1,1:0,+,0.743
6535,2:1,1:0,+,0.507
6536,2:1,2:1,,0.502
6537,1:0,2:1,+,0.692
6538,1:0,2:1,+,0.637
6539,2:1,1:0,+,0.921
6540,1:0,2:1,+,0.626
6541,2:1,2:1,,0.792
6542,2:1,1:0,+,0.624
6543,1:0,2:1,+,0.69
6544,1:0,1:0,,0.699
6545,2:1,1:0,+,0.532
6546,1:0,2:1,+,0.509
6547,2:1,1:0,+,0.688
6548,1:0,2:1,+,0.532
6549,2:1,2:1,,0.552
6550,2:1,1:0,+,0.666
6551,2:1,1:0,+,0.674
6552,2:1,1:0,+,0.657
6553,2:1,2:1,,0.731
6554,2:1,2:1,,0.506
6555,2:1,2:1,,0.719
6556,1:0,2:1,+,0.93
6557,1:0,2:1,+,0.604
6558,1:0,2:1,+,0.657
6559,2:1,2:1,,0.522
6560,2:1,2:1,,0.71
6561,1:0,1:0,,0.875
6562,1:0,2:1,+,0.656
6563,2:1,1:0,+,0.538
6564,2:1,2:1,,0.762
6565,1:0,1:0,,0.523
6566,1:0,1:0,,0.635
6567,2:1,1:0,+,0.54
6568,1:0,1:0,,0.901
6569,1:0,1:0,,0.672
6570,1:0,2:1,+,0.965
6571,1:0,2:1,+,0.741
6572,2:1,2:1,,0.719
6573,1:0,2:1,+,0.536
6574,2:1,1:0,+,0.523
6575,2:1,1:0,+,0.561
6576,2:1,2:1,,0.562
6577,1:0,1:0,,0.668
6578,1:0,1:0,,0.552
6579,2:1,2:1,,0.587
6580,1:0,1:0,,0.755
6581,1:0,2:1,+,0.587
6582,1:0,1:0,,0.587
6583,1:0,2:1,+,0.718
6584,1:0,1:0,,0.575
6585,1:0,1:0,,0.517
6586,1:0,1:0,,0.655
6587,2:1,2:1,,0.603
6588,1:0,2:1,+,0.816
6589,2:1,2:1,,0.663
6590,1:0,2:1,+,0.936
6591,1:0,1:0,,0.553
6592,1:0,2:1,+,0.573
6593,1:0,1:0,,0.648
6594,2:1,2:1,,0.538
6595,1:0,1:0,,0.647
6596,2:1,2:1,,0.543
6597,2:1,1:0,+,0.704
6598,1:0,1:0,,0.589
6599,2:1,2:1,,0.686
6600,1:0,2:1,+,0.513
6601,2:1,1:0,+,0.602
6602,2:1,2:1,,0.662
6603,2:1,1:0,+,0.701
6604,1:0,2:1,+,0.641
6605,1:0,1:0,,0.64
6606,1:0,2:1,+,0.852
6607,2:1,2:1,,0.577
6608,2:1,1:0,+,0.528
6609,1:0,2:1,+,0.512
6610,2:1,1:0,+,0.599
6611,1:0,1:0,,0.71
6612,2:1,2:1,,0.727
6613,2:1,2:1,,0.909
6614,2:1,2:1,,0.859
6615,1:0,1:0,,0.817
6616,1:0,1:0,,0.686
6617,1:0,2:1,+,0.877
6618,2:1,2:1,,0.68
6619,1:0,2:1,+,0.815
6620,1:0,2:1,+,0.519
6621,2:1,2:1,,0.773
6622,2:1,2:1,,0.652
6623,1:0,2:1,+,0.621
6624,2:1,2:1,,0.763
6625,2:1,2:1,,0.603
6626,1:0,1:0,,0.926
6627,2:1,2:1,,0.615
6628,1:0,2:1,+,0.774
6629,1:0,2:1,+,0.597
6630,1:0,1:0,,0.528
6631,2:1,1:0,+,0.506
6632,1:0,2:1,+,0.5
6633,2:1,1:0,+,0.801
6634,2:1,2:1,,0.765
6635,1:0,2:1,+,0.521
6636,2:1,2:1,,0.512
6637,1:0,2:1,+,0.692
6638,2:1,2:1,,0.752
6639,1:0,2:1,+,0.544
6640,2:1,1:0,+,0.555
6641,1:0,2:1,+,0.653
6642,1:0,1:0,,0.586
6643,1:0,1:0,,0.597
6644,2:1,1:0,+,0.595
6645,1:0,1:0,,0.589
6646,1:0,1:0,,0.509
6647,2:1,2:1,,0.53
6648,2:1,2:1,,0.857
6649,1:0,1:0,,0.531
6650,1:0,1:0,,0.686
6651,1:0,1:0,,0.696
6652,1:0,2:1,+,0.765
6653,2:1,2:1,,0.526
6654,1:0,1:0,,0.687
6655,1:0,2:1,+,0.517
6656,1:0,2:1,+,0.539
6657,2:1,2:1,,0.701
6658,1:0,2:1,+,0.563
6659,1:0,1:0,,0.868
6660,2:1,2:1,,0.634
6661,2:1,1:0,+,0.528
6662,2:1,1:0,+,0.686
6663,2:1,2:1,,0.575
6664,1:0,1:0,,0.791
6665,1:0,2:1,+,0.581
6666,2:1,2:1,,0.502
6667,2:1,2:1,,0.727
6668,2:1,1:0,+,0.711
6669,1:0,1:0,,0.724
6670,1:0,1:0,,0.831
6671,1:0,1:0,,0.518
6672,2:1,1:0,+,0.761
6673,2:1,1:0,+,0.559
6674,2:1,2:1,,0.623
6675,2:1,1:0,+,0.597
6676,2:1,1:0,+,0.628
6677,2:1,1:0,+,0.566
6678,1:0,1:0,,0.519
6679,1:0,1:0,,0.932
6680,2:1,2:1,,0.508
6681,2:1,1:0,+,0.738
6682,1:0,2:1,+,0.695
6683,2:1,2:1,,0.616
6684,2:1,2:1,,0.578
6685,2:1,1:0,+,0.507
6686,2:1,1:0,+,0.607
6687,1:0,1:0,,0.661
6688,1:0,1:0,,0.512
6689,1:0,2:1,+,0.794
6690,2:1,1:0,+,0.719
6691,1:0,1:0,,0.709
6692,2:1,1:0,+,0.562
6693,2:1,2:1,,0.762
6694,2:1,2:1,,0.552
6695,1:0,1:0,,0.527
6696,2:1,1:0,+,0.687
6697,1:0,2:1,+,0.743
6698,1:0,1:0,,0.591
6699,1:0,2:1,+,0.582
6700,2:1,2:1,,0.91
6701,2:1,1:0,+,0.605
6702,2:1,2:1,,0.74
6703,1:0,2:1,+,0.753
6704,1:0,2:1,+,0.783
6705,1:0,1:0,,0.848
6706,1:0,2:1,+,0.77
6707,1:0,1:0,,0.669
6708,1:0,1:0,,0.565
6709,1:0,2:1,+,0.55
6710,2:1,2:1,,0.67
6711,1:0,2:1,+,0.658
6712,1:0,2:1,+,0.714
6713,1:0,2:1,+,0.523
6714,2:1,2:1,,0.772
6715,1:0,1:0,,0.712
6716,2:1,1:0,+,0.701
6717,2:1,2:1,,0.583
6718,2:1,1:0,+,0.646
6719,2:1,1:0,+,0.603
6720,2:1,1:0,+,0.677
6721,2:1,2:1,,0.68
6722,2:1,2:1,,0.935
6723,2:1,1:0,+,0.766
6724,1:0,2:1,+,0.627
6725,2:1,1:0,+,0.51
6726,2:1,1:0,+,0.538
6727,1:0,1:0,,0.512
6728,1:0,2:1,+,0.568
6729,2:1,1:0,+,0.672
6730,2:1,1:0,+,0.652
6731,1:0,1:0,,0.689
6732,1:0,1:0,,0.528
6733,2:1,1:0,+,0.543
6734,2:1,2:1,,0.519
6735,1:0,1:0,,0.534
6736,2:1,2:1,,0.559
6737,2:1,2:1,,0.621
6738,2:1,2:1,,0.795
6739,2:1,2:1,,0.654
6740,1:0,1:0,,0.861
6741,2:1,2:1,,0.568
6742,1:0,1:0,,0.536
6743,2:1,2:1,,0.589
6744,1:0,2:1,+,0.572
6745,2:1,2:1,,0.658
6746,2:1,2:1,,0.661
6747,2:1,1:0,+,0.579
6748,2:1,2:1,,0.623
6749,1:0,2:1,+,0.601
6750,1:0,2:1,+,0.664
6751,1:0,1:0,,0.715
6752,2:1,1:0,+,0.518
6753,2:1,2:1,,0.598
6754,2:1,1:0,+,0.599
6755,1:0,2:1,+,0.531
6756,1:0,2:1,+,0.647
6757,1:0,1:0,,0.567
6758,1:0,2:1,+,0.615
6759,1:0,1:0,,0.511
6760,1:0,1:0,,0.664
6761,1:0,1:0,,0.508
6762,1:0,1:0,,0.733
6763,2:1,1:0,+,0.581
6764,2:1,1:0,+,0.68
6765,2:1,1:0,+,0.767
6766,2:1,2:1,,0.781
6767,2:1,2:1,,0.91
6768,1:0,1:0,,0.586
6769,1:0,1:0,,0.577
6770,1:0,1:0,,0.567
6771,1:0,2:1,+,0.625
6772,2:1,1:0,+,0.638
6773,1:0,2:1,+,0.542
6774,2:1,2:1,,0.669
6775,2:1,2:1,,0.5
6776,2:1,1:0,+,0.736
6777,2:1,2:1,,0.753
6778,2:1,2:1,,0.685
6779,2:1,2:1,,0.545
6780,2:1,1:0,+,0.694
6781,2:1,1:0,+,0.666
6782,1:0,1:0,,0.647
6783,2:1,2:1,,0.895
6784,1:0,2:1,+,0.796
6785,2:1,1:0,+,0.723
6786,2:1,2:1,,0.649
6787,2:1,2:1,,0.581
6788,2:1,1:0,+,0.956
6789,2:1,1:0,+,0.616
6790,2:1,1:0,+,0.637
6791,1:0,1:0,,0.97
6792,1:0,1:0,,0.628
6793,1:0,1:0,,0.656
6794,1:0,2:1,+,0.595
6795,2:1,1:0,+,0.597
6796,2:1,1:0,+,0.62
6797,1:0,1:0,,0.612
6798,2:1,1:0,+,0.528
6799,2:1,2:1,,0.539
6800,2:1,1:0,+,0.82
6801,2:1,2:1,,0.626
6802,1:0,1:0,,0.522
6803,2:1,2:1,,0.848
6804,2:1,1:0,+,0.821
6805,1:0,2:1,+,0.959
6806,1:0,2:1,+,0.674
6807,2:1,1:0,+,0.511
6808,2:1,2:1,,0.582
6809,1:0,1:0,,0.552
6810,1:0,1:0,,0.561
6811,2:1,2:1,,0.669
6812,1:0,1:0,,0.759
6813,1:0,2:1,+,0.747
6814,1:0,2:1,+,0.607
6815,1:0,1:0,,0.695
6816,2:1,2:1,,0.789
6817,1:0,1:0,,0.737
6818,1:0,2:1,+,0.684
6819,1:0,1:0,,0.898
6820,1:0,2:1,+,0.659
6821,1:0,1:0,,0.654
6822,1:0,1:0,,0.551
6823,2:1,2:1,,0.614
6824,1:0,2:1,+,0.69
6825,2:1,1:0,+,0.698
6826,2:1,1:0,+,0.828
6827,1:0,1:0,,0.704
6828,1:0,2:1,+,0.512
6829,1:0,2:1,+,0.582
6830,2:1,1:0,+,0.64
6831,2:1,1:0,+,0.696
6832,1:0,2:1,+,0.701
6833,1:0,2:1,+,0.597
6834,2:1,1:0,+,0.78
6835,2:1,1:0,+,0.71
6836,1:0,1:0,,0.524
6837,1:0,2:1,+,0.672
6838,2:1,2:1,,0.761
6839,2:1,1:0,+,0.53
6840,2:1,2:1,,0.845
6841,1:0,1:0,,0.701
6842,1:0,1:0,,0.799
6843,2:1,2:1,,0.714
6844,1:0,1:0,,0.638
6845,1:0,2:1,+,0.512
6846,2:1,2:1,,0.921
6847,1:0,1:0,,0.783
6848,2:1,2:1,,0.676
6849,1:0,2:1,+,0.605
6850,2:1,2:1,,0.68
6851,1:0,2:1,+,0.655
6852,2:1,2:1,,0.721
6853,2:1,1:0,+,0.575
6854,2:1,2:1,,0.596
6855,1:0,2:1,+,0.752
6856,1:0,1:0,,0.545
6857,2:1,2:1,,0.643
6858,1:0,2:1,+,0.72
6859,1:0,1:0,,0.535
6860,1:0,2:1,+,0.62
6861,2:1,1:0,+,0.647
6862,2:1,1:0,+,0.555
6863,2:1,1:0,+,0.671
6864,1:0,1:0,,0.536
6865,1:0,2:1,+,0.555
6866,2:1,2:1,,0.612
6867,1:0,2:1,+,0.936
6868,2:1,1:0,+,0.627
6869,1:0,2:1,+,0.807
6870,1:0,2:1,+,0.715
6871,1:0,1:0,,0.507
6872,1:0,2:1,+,0.701
6873,2:1,1:0,+,0.778
6874,1:0,2:1,+,0.582
6875,1:0,1:0,,0.513
6876,1:0,1:0,,0.666
6877,2:1,1:0,+,0.578
6878,2:1,1:0,+,0.683
6879,1:0,2:1,+,0.642
6880,1:0,1:0,,0.678
6881,1:0,2:1,+,0.537
6882,1:0,1:0,,0.522
6883,1:0,1:0,,0.706
6884,2:1,2:1,,0.588
6885,1:0,1:0,,0.546
6886,1:0,2:1,+,0.512
6887,1:0,2:1,+,0.789
6888,2:1,1:0,+,0.532
6889,1:0,2:1,+,0.883
6890,1:0,1:0,,0.627
6891,1:0,2:1,+,0.606
6892,2:1,1:0,+,0.595
6893,1:0,2:1,+,0.672
6894,1:0,1:0,,0.99
6895,2:1,1:0,+,0.574
6896,2:1,2:1,,0.526
6897,1:0,1:0,,0.59
6898,1:0,1:0,,0.751
6899,2:1,2:1,,0.837
6900,2:1,2:1,,0.672
6901,1:0,2:1,+,0.579
6902,2:1,2:1,,0.868
6903,2:1,1:0,+,0.549
6904,2:1,2:1,,0.787
6905,1:0,1:0,,0.908
6906,1:0,1:0,,0.581
6907,1:0,1:0,,0.717
6908,1:0,1:0,,0.894
6909,2:1,2:1,,0.616
6910,2:1,2:1,,0.576
6911,1:0,2:1,+,0.589
6912,2:1,2:1,,0.598
6913,2:1,1:0,+,0.81
6914,1:0,1:0,,0.884
6915,1:0,1:0,,0.524
6916,2:1,2:1,,0.596
6917,2:1,2:1,,0.512
6918,2:1,1:0,+,0.528
6919,1:0,1:0,,0.782
6920,2:1,2:1,,0.545
6921,1:0,2:1,+,0.696
6922,2:1,1:0,+,0.535
6923,2:1,1:0,+,0.805
6924,2:1,2:1,,0.625
6925,2:1,1:0,+,0.633
6926,1:0,2:1,+,0.553
6927,2:1,2:1,,0.612
6928,1:0,2:1,+,0.561
6929,2:1,1:0,+,0.738
6930,2:1,2:1,,0.509
6931,1:0,1:0,,0.553
6932,1:0,1:0,,0.835
6933,2:1,1:0,+,0.557
6934,1:0,2:1,+,0.697
6935,2:1,1:0,+,0.596
6936,1:0,2:1,+,0.647
6937,1:0,2:1,+,0.602
6938,1:0,1:0,,0.677
6939,1:0,2:1,+,0.531
6940,1:0,1:0,,0.831
6941,2:1,2:1,,0.52
6942,1:0,2:1,+,0.578
6943,2:1,1:0,+,0.584
6944,2:1,1:0,+,0.51
6945,2:1,2:1,,0.617
6946,2:1,1:0,+,0.754
6947,2:1,1:0,+,0.794
6948,1:0,1:0,,0.669
6949,2:1,1:0,+,0.623
6950,2:1,1:0,+,0.533
6951,2:1,1:0,+,0.743
6952,1:0,1:0,,0.783
6953,1:0,1:0,,0.537
6954,1:0,2:1,+,0.642
6955,2:1,2:1,,0.603
6956,1:0,1:0,,0.62
6957,1:0,2:1,+,0.955
6958,2:1,1:0,+,0.692
6959,1:0,2:1,+,0.615
6960,1:0,2:1,+,0.54
6961,2:1,1:0,+,0.67
6962,2:1,1:0,+,0.679
6963,1:0,1:0,,0.719
6964,1:0,1:0,,0.561
6965,1:0,2:1,+,0.685
6966,1:0,2:1,+,0.518
6967,2:1,2:1,,0.749
6968,1:0,2:1,+,0.605
6969,1:0,2:1,+,0.98
6970,2:1,2:1,,0.839
6971,1:0,2:1,+,0.774
6972,2:1,1:0,+,0.754
6973,2:1,1:0,+,0.587
6974,2:1,2:1,,0.72
6975,2:1,2:1,,0.639
6976,1:0,2:1,+,0.667
6977,2:1,2:1,,0.568
6978,2:1,2:1,,0.685
6979,1:0,1:0,,0.613
6980,2:1,2:1,,0.609
6981,2:1,1:0,+,0.508
6982,1:0,1:0,,0.661
6983,2:1,2:1,,0.589
6984,1:0,2:1,+,0.761
6985,1:0,1:0,,0.604
6986,2:1,2:1,,0.734
6987,2:1,1:0,+,0.753
6988,1:0,1:0,,0.666
6989,1:0,1:0,,0.679
6990,1:0,2:1,+,0.913
6991,1:0,2:1,+,0.682
6992,1:0,1:0,,0.679
6993,2:1,2:1,,0.512
6994,2:1,1:0,+,0.567
6995,2:1,2:1,,0.831
6996,2:1,2:1,,0.576
6997,2:1,2:1,,0.572
6998,1:0,1:0,,0.503
6999,1:0,1:0,,0.511
7000,2:1,1:0,+,0.545
7001,2:1,2:1,,0.577
7002,1:0,1:0,,0.723
7003,1:0,1:0,,0.504
7004,1:0,2:1,+,0.926
7005,2:1,1:0,+,0.668
7006,2:1,2:1,,0.602
7007,1:0,1:0,,0.773
7008,2:1,2:1,,0.626
7009,2:1,1:0,+,0.502
7010,2:1,2:1,,0.689
7011,1:0,1:0,,0.632
7012,2:1,1:0,+,0.551
7013,1:0,1:0,,0.709
7014,1:0,1:0,,0.501
7015,1:0,1:0,,0.732
7016,1:0,1:0,,0.745
7017,2:1,2:1,,0.767
7018,2:1,2:1,,0.958
7019,2:1,2:1,,0.735
7020,2:1,1:0,+,0.665
7021,2:1,2:1,,0.708
7022,1:0,2:1,+,0.75
7023,1:0,1:0,,0.799
7024,2:1,1:0,+,0.555
7025,1:0,2:1,+,0.538
7026,1:0,2:1,+,0.598
7027,1:0,1:0,,0.587
7028,2:1,2:1,,0.638
7029,1:0,1:0,,0.523
7030,1:0,1:0,,0.529
7031,2:1,2:1,,0.532
7032,1:0,1:0,,0.601
7033,1:0,2:1,+,0.669
7034,1:0,2:1,+,0.528
7035,1:0,2:1,+,0.526
7036,1:0,2:1,+,0.748
7037,2:1,2:1,,0.814
7038,1:0,1:0,,0.512
7039,1:0,2:1,+,0.54
7040,2:1,1:0,+,0.593
7041,1:0,1:0,,0.744
7042,1:0,1:0,,0.589
7043,2:1,1:0,+,0.675
7044,2:1,2:1,,0.573
7045,1:0,2:1,+,0.608
7046,2:1,1:0,+,0.512
7047,1:0,1:0,,0.789
7048,2:1,2:1,,0.583
7049,1:0,1:0,,0.686
7050,2:1,2:1,,0.627
7051,1:0,2:1,+,0.867
7052,2:1,2:1,,0.697
7053,2:1,1:0,+,0.644
7054,2:1,2:1,,0.797
7055,1:0,2:1,+,0.892
7056,2:1,1:0,+,0.656
7057,2:1,1:0,+,0.743
7058,2:1,2:1,,0.694
7059,2:1,2:1,,0.758
7060,1:0,1:0,,0.722
7061,2:1,1:0,+,0.619
7062,2:1,2:1,,0.949
7063,1:0,1:0,,0.676
7064,1:0,2:1,+,0.583
7065,1:0,1:0,,0.724
7066,2:1,2:1,,0.703
7067,1:0,2:1,+,0.637
7068,1:0,1:0,,0.742
7069,2:1,1:0,+,0.509
7070,2:1,1:0,+,0.522
7071,2:1,1:0,+,0.784
7072,2:1,1:0,+,0.529
7073,1:0,2:1,+,0.653
7074,1:0,2:1,+,0.641
7075,1:0,2:1,+,0.519
7076,1:0,1:0,,0.818
7077,2:1,2:1,,0.56
7078,2:1,1:0,+,0.66
7079,2:1,2:1,,0.504
7080,2:1,2:1,,0.512
7081,1:0,2:1,+,0.736
7082,1:0,2:1,+,0.586
7083,2:1,2:1,,0.599
7084,1:0,1:0,,0.529
7085,2:1,1:0,+,0.673
7086,2:1,1:0,+,0.802
7087,1:0,2:1,+,0.577
7088,2:1,2:1,,0.712
7089,2:1,2:1,,0.542
7090,2:1,1:0,+,0.921
7091,2:1,2:1,,0.731
7092,2:1,2:1,,0.743
7093,2:1,2:1,,0.74
7094,2:1,1:0,+,0.771
7095,2:1,1:0,+,0.609
7096,1:0,1:0,,0.568
7097,1:0,1:0,,0.62
7098,2:1,1:0,+,0.643
7099,2:1,2:1,,0.799
7100,1:0,2:1,+,0.536
7101,2:1,1:0,+,0.747
7102,1:0,1:0,,0.716
7103,2:1,2:1,,0.591
7104,2:1,1:0,+,0.806
7105,1:0,1:0,,0.615
7106,2:1,1:0,+,0.625
7107,1:0,1:0,,0.551
7108,1:0,2:1,+,0.915
7109,2:1,2:1,,0.879
7110,2:1,2:1,,0.835
7111,1:0,1:0,,0.59
7112,2:1,2:1,,0.547
7113,1:0,2:1,+,0.567
7114,1:0,1:0,,0.696
7115,2:1,2:1,,0.55
7116,2:1,1:0,+,0.63
7117,1:0,1:0,,0.759
7118,2:1,1:0,+,0.706
7119,1:0,1:0,,0.819
7120,1:0,2:1,+,0.532
7121,2:1,2:1,,0.625
7122,2:1,2:1,,0.715
7123,2:1,1:0,+,0.597
7124,1:0,2:1,+,0.902
7125,1:0,2:1,+,0.687
7126,1:0,1:0,,0.576
7127,2:1,2:1,,0.571
7128,2:1,1:0,+,0.533
7129,2:1,2:1,,0.562
7130,1:0,2:1,+,0.564
7131,2:1,2:1,,0.539
7132,1:0,2:1,+,0.591
7133,1:0,1:0,,0.508
7134,2:1,1:0,+,0.734
7135,2:1,1:0,+,0.543
7136,1:0,2:1,+,0.684
7137,2:1,1:0,+,0.785
7138,1:0,2:1,+,0.851
7139,2:1,1:0,+,0.829
7140,2:1,1:0,+,0.535
7141,2:1,2:1,,0.626
7142,1:0,2:1,+,0.778
7143,1:0,1:0,,0.677
7144,1:0,2:1,+,0.61
7145,2:1,2:1,,0.606
7146,1:0,1:0,,0.502
7147,1:0,2:1,+,0.53
7148,2:1,1:0,+,0.557
7149,1:0,2:1,+,0.558
7150,2:1,1:0,+,0.548
7151,2:1,1:0,+,0.564
7152,2:1,2:1,,0.775
7153,1:0,1:0,,0.519
7154,1:0,2:1,+,0.572
7155,1:0,1:0,,0.57
7156,2:1,1:0,+,0.698
7157,2:1,2:1,,0.556
7158,1:0,2:1,+,0.562
7159,1:0,2:1,+,0.93
7160,2:1,2:1,,0.703
7161,1:0,1:0,,0.536
7162,1:0,1:0,,0.644
7163,2:1,2:1,,0.612
7164,1:0,1:0,,0.638
7165,1:0,1:0,,0.53
7166,1:0,1:0,,0.845
7167,1:0,1:0,,0.711
7168,2:1,1:0,+,0.545
7169,2:1,2:1,,0.636
7170,2:1,1:0,+,0.659
7171,2:1,1:0,+,0.571
7172,1:0,1:0,,0.769
7173,1:0,1:0,,0.612
7174,1:0,2:1,+,0.907
7175,1:0,2:1,+,0.789
7176,1:0,1:0,,0.623
7177,2:1,1:0,+,0.713
7178,2:1,2:1,,0.602
7179,2:1,2:1,,0.664
7180,2:1,1:0,+,0.516
7181,2:1,1:0,+,0.616
7182,2:1,2:1,,0.729
7183,2:1,2:1,,0.596
7184,2:1,2:1,,0.683
7185,1:0,1:0,,0.598
7186,1:0,1:0,,0.573
7187,2:1,1:0,+,0.63
7188,1:0,2:1,+,0.822
7189,1:0,2:1,+,0.657
7190,2:1,2:1,,0.631
7191,1:0,1:0,,0.524
7192,1:0,2:1,+,0.531
7193,1:0,1:0,,0.527
7194,1:0,2:1,+,0.743
7195,1:0,2:1,+,0.53
7196,1:0,1:0,,0.651
7197,1:0,2:1,+,0.761
7198,2:1,1:0,+,0.835
7199,1:0,2:1,+,0.912
7200,1:0,1:0,,0.764
7201,2:1,2:1,,0.517
7202,2:1,2:1,,0.735
7203,2:1,2:1,,0.66
7204,2:1,1:0,+,0.975
7205,2:1,2:1,,0.695
7206,2:1,1:0,+,0.536
7207,1:0,2:1,+,0.64
7208,1:0,1:0,,0.56
7209,2:1,1:0,+,0.572
7210,2:1,1:0,+,0.581
7211,2:1,2:1,,0.649
7212,1:0,1:0,,0.521
7213,2:1,2:1,,0.555
7214,2:1,1:0,+,0.648
7215,1:0,2:1,+,0.682
7216,1:0,2:1,+,0.651
7217,1:0,1:0,,0.713
7218,2:1,1:0,+,0.604
7219,1:0,1:0,,0.66
7220,2:1,2:1,,0.538
7221,1:0,2:1,+,0.558
7222,1:0,2:1,+,0.614
7223,2:1,1:0,+,0.818
7224,1:0,2:1,+,0.672
7225,1:0,1:0,,0.513
7226,1:0,1:0,,0.863
7227,1:0,2:1,+,0.705
7228,2:1,2:1,,0.543
7229,2:1,1:0,+,0.561
7230,2:1,2:1,,0.695
7231,2:1,2:1,,0.758
7232,1:0,2:1,+,0.903
7233,1:0,1:0,,0.616
7234,2:1,2:1,,0.776
7235,2:1,1:0,+,0.539
7236,2:1,1:0,+,0.625
7237,1:0,1:0,,0.519
7238,1:0,1:0,,0.591
7239,2:1,2:1,,0.518
7240,1:0,1:0,,0.668
7241,1:0,2:1,+,0.654
7242,2:1,2:1,,0.524
7243,2:1,1:0,+,0.561
7244,1:0,2:1,+,0.72
7245,2:1,2:1,,0.708
7246,1:0,2:1,+,0.547
7247,1:0,2:1,+,0.559
7248,2:1,1:0,+,0.714
7249,2:1,1:0,+,0.57
7250,1:0,1:0,,0.666
7251,2:1,1:0,+,0.609
7252,2:1,1:0,+,0.743
7253,1:0,1:0,,0.547
7254,2:1,1:0,+,0.533
7255,1:0,2:1,+,0.658
7256,2:1,2:1,,0.638
7257,2:1,1:0,+,0.749
7258,1:0,1:0,,0.676
7259,1:0,2:1,+,0.506
7260,2:1,2:1,,0.533
7261,2:1,2:1,,0.594
7262,1:0,1:0,,0.62
7263,2:1,2:1,,0.774
7264,2:1,1:0,+,0.571
7265,1:0,2:1,+,0.608
7266,2:1,1:0,+,0.664
7267,2:1,2:1,,0.689
7268,1:0,1:0,,0.782
7269,1:0,2:1,+,0.712
7270,1:0,2:1,+,0.724
7271,1:0,1:0,,0.669
7272,2:1,1:0,+,0.609
7273,2:1,2:1,,0.615
7274,1:0,2:1,+,0.52
7275,1:0,2:1,+,0.508
7276,1:0,2:1,+,0.572
7277,1:0,1:0,,0.633
7278,1:0,1:0,,0.516
7279,1:0,2:1,+,0.892
7280,2:1,2:1,,0.619
7281,2:1,2:1,,0.616
7282,1:0,1:0,,0.518
7283,2:1,2:1,,0.785
7284,1:0,1:0,,0.502
7285,1:0,2:1,+,0.705
7286,2:1,1:0,+,0.577
7287,1:0,2:1,+,0.515
7288,1:0,1:0,,0.592
7289,2:1,1:0,+,0.622
7290,1:0,1:0,,0.564
7291,2:1,2:1,,0.57
7292,1:0,1:0,,0.961
7293,1:0,1:0,,0.615
7294,1:0,2:1,+,0.563
7295,1:0,1:0,,0.727
7296,1:0,1:0,,0.518
7297,1:0,1:0,,0.521
7298,2:1,2:1,,0.513
7299,1:0,1:0,,0.515
7300,1:0,2:1,+,0.931
7301,2:1,1:0,+,0.777
7302,1:0,2:1,+,0.596
7303,2:1,2:1,,0.57
7304,2:1,1:0,+,0.725
7305,1:0,2:1,+,0.607
7306,1:0,1:0,,0.686
7307,2:1,1:0,+,0.876
7308,1:0,1:0,,0.623
7309,2:1,1:0,+,0.551
7310,1:0,2:1,+,0.538
7311,1:0,1:0,,0.77
7312,1:0,1:0,,0.823
7313,2:1,1:0,+,0.59
7314,1:0,1:0,,0.511
7315,1:0,2:1,+,0.941
7316,1:0,1:0,,0.613
7317,1:0,2:1,+,0.539
7318,1:0,2:1,+,0.673
7319,1:0,1:0,,0.542
7320,1:0,1:0,,0.54
7321,1:0,1:0,,0.97
7322,1:0,1:0,,0.705
7323,1:0,2:1,+,0.559
7324,2:1,1:0,+,0.536
7325,1:0,1:0,,0.862
7326,1:0,1:0,,0.556
7327,1:0,1:0,,0.759
7328,2:1,2:1,,0.671
7329,2:1,2:1,,0.557
7330,1:0,2:1,+,0.633
7331,2:1,2:1,,0.595
7332,2:1,1:0,+,0.551
7333,1:0,1:0,,0.721
7334,1:0,1:0,,0.81
7335,1:0,1:0,,0.826
7336,2:1,2:1,,0.81
7337,2:1,2:1,,0.505
7338,2:1,1:0,+,0.624
7339,2:1,2:1,,0.683
7340,2:1,1:0,+,0.732
7341,2:1,2:1,,0.552
